# MAPTEXT v1
# 1v1 小型对抗图：箱海竞技场（障碍少 + 超多小箱子）
# 设计意图：基本无遮挡大楼，靠“箱子可破坏掩体”动态改写路线；撤离点极小且暴露，想撤必须先赢一波控点

@meta id=1v1_crate_sea name="Crate Sea Duel" desc="纯1v1对抗：障碍物极少，箱子极多（可破坏），掩体会被打穿重塑；极小撤离点在东南角。"
@map width=1000 height=700 seed=160106

# 撤离点：非常小（难撤），并且附近几乎无硬掩体
@extract x=952 y=652 w=32 h=32

# === 出生点：对角线 1v1（开局视野对称，距离适中） ===
@spawn x=60 y=60
@spawn x=940 y=640

# === 极少量“硬障碍”（只放 2 个细墙当视线切割，不做大建筑） ===
@obstacle 480 120 20 160 type=wall
@obstacle 500 420 20 160 type=wall

# === 关键点（POI） ===
@poi x=500 y=330 id=center_linecut type=landmark name="Center Linecut" desc="两条细墙切割视线：让中路不至于一条直线对枪。"
@poi x=968 y=668 id=tiny_extract type=landmark name="Tiny Extract" desc="极小撤离点：暴露，想撤基本要先控住东南角。"

# === 区域（Zones） ===
@zone x=0 y=0 w=1000 h=700 id=arena type=pvp name="Arena" desc="1v1 箱海竞技场：箱子多、硬障碍少，节奏快。"
@zone x=900 y=600 w=100 h=100 id=extract_pressure type=pvp name="Extract Pressure" desc="撤离压力区：靠近撤离但几乎没硬掩体，容易被卡。"

# === 超多小箱子（type=crate，基本 30x30 / 26x26） ===
# 布局策略：
# - 中部：密一点，形成“碎掩体网格”
# - 两侧：略疏，给绕行和拉扯空间
# - 撤离周围：故意稀一点，让撤离更难

# --- 中部箱海（密） ---
@obstacle x=180 y=150 w=30 h=30 type=crate
@obstacle x=220 y=150 w=30 h=30 type=crate
@obstacle x=260 y=150 w=30 h=30 type=crate
@obstacle x=300 y=150 w=30 h=30 type=crate
@obstacle x=340 y=150 w=30 h=30 type=crate
@obstacle x=380 y=150 w=30 h=30 type=crate
@obstacle x=420 y=150 w=30 h=30 type=crate
@obstacle x=460 y=150 w=30 h=30 type=crate
@obstacle x=540 y=150 w=30 h=30 type=crate
@obstacle x=580 y=150 w=30 h=30 type=crate
@obstacle x=620 y=150 w=30 h=30 type=crate
@obstacle x=660 y=150 w=30 h=30 type=crate
@obstacle x=700 y=150 w=30 h=30 type=crate
@obstacle x=740 y=150 w=30 h=30 type=crate
@obstacle x=780 y=150 w=30 h=30 type=crate

@obstacle x=180 y=190 w=30 h=30 type=crate
@obstacle x=240 y=190 w=30 h=30 type=crate
@obstacle x=300 y=190 w=30 h=30 type=crate
@obstacle x=360 y=190 w=30 h=30 type=crate
@obstacle x=420 y=190 w=30 h=30 type=crate
@obstacle x=540 y=190 w=30 h=30 type=crate
@obstacle x=600 y=190 w=30 h=30 type=crate
@obstacle x=660 y=190 w=30 h=30 type=crate
@obstacle x=720 y=190 w=30 h=30 type=crate
@obstacle x=780 y=190 w=30 h=30 type=crate

@obstacle x=180 y=230 w=30 h=30 type=crate
@obstacle x=220 y=230 w=30 h=30 type=crate
@obstacle x=260 y=230 w=30 h=30 type=crate
@obstacle x=320 y=230 w=30 h=30 type=crate
@obstacle x=380 y=230 w=30 h=30 type=crate
@obstacle x=440 y=230 w=30 h=30 type=crate
@obstacle x=520 y=230 w=30 h=30 type=crate
@obstacle x=580 y=230 w=30 h=30 type=crate
@obstacle x=640 y=230 w=30 h=30 type=crate
@obstacle x=700 y=230 w=30 h=30 type=crate
@obstacle x=760 y=230 w=30 h=30 type=crate

@obstacle x=200 y=270 w=30 h=30 type=crate
@obstacle x=260 y=270 w=30 h=30 type=crate
@obstacle x=320 y=270 w=30 h=30 type=crate
@obstacle x=380 y=270 w=30 h=30 type=crate
@obstacle x=440 y=270 w=30 h=30 type=crate
@obstacle x=560 y=270 w=30 h=30 type=crate
@obstacle x=620 y=270 w=30 h=30 type=crate
@obstacle x=680 y=270 w=30 h=30 type=crate
@obstacle x=740 y=270 w=30 h=30 type=crate

@obstacle x=180 y=310 w=30 h=30 type=crate
@obstacle x=240 y=310 w=30 h=30 type=crate
@obstacle x=300 y=310 w=30 h=30 type=crate
@obstacle x=360 y=310 w=30 h=30 type=crate
@obstacle x=420 y=310 w=30 h=30 type=crate
@obstacle x=540 y=310 w=30 h=30 type=crate
@obstacle x=600 y=310 w=30 h=30 type=crate
@obstacle x=660 y=310 w=30 h=30 type=crate
@obstacle x=720 y=310 w=30 h=30 type=crate
@obstacle x=780 y=310 w=30 h=30 type=crate

@obstacle x=200 y=350 w=30 h=30 type=crate
@obstacle x=260 y=350 w=30 h=30 type=crate
@obstacle x=320 y=350 w=30 h=30 type=crate
@obstacle x=380 y=350 w=30 h=30 type=crate
@obstacle x=440 y=350 w=30 h=30 type=crate
@obstacle x=560 y=350 w=30 h=30 type=crate
@obstacle x=620 y=350 w=30 h=30 type=crate
@obstacle x=680 y=350 w=30 h=30 type=crate
@obstacle x=740 y=350 w=30 h=30 type=crate

@obstacle x=180 y=390 w=30 h=30 type=crate
@obstacle x=240 y=390 w=30 h=30 type=crate
@obstacle x=300 y=390 w=30 h=30 type=crate
@obstacle x=360 y=390 w=30 h=30 type=crate
@obstacle x=420 y=390 w=30 h=30 type=crate
@obstacle x=540 y=390 w=30 h=30 type=crate
@obstacle x=600 y=390 w=30 h=30 type=crate
@obstacle x=660 y=390 w=30 h=30 type=crate
@obstacle x=720 y=390 w=30 h=30 type=crate
@obstacle x=780 y=390 w=30 h=30 type=crate

@obstacle x=200 y=430 w=30 h=30 type=crate
@obstacle x=260 y=430 w=30 h=30 type=crate
@obstacle x=320 y=430 w=30 h=30 type=crate
@obstacle x=380 y=430 w=30 h=30 type=crate
@obstacle x=440 y=430 w=30 h=30 type=crate
@obstacle x=560 y=430 w=30 h=30 type=crate
@obstacle x=620 y=430 w=30 h=30 type=crate
@obstacle x=680 y=430 w=30 h=30 type=crate
@obstacle x=740 y=430 w=30 h=30 type=crate

@obstacle x=220 y=470 w=30 h=30 type=crate
@obstacle x=280 y=470 w=30 h=30 type=crate
@obstacle x=340 y=470 w=30 h=30 type=crate
@obstacle x=400 y=470 w=30 h=30 type=crate
@obstacle x=580 y=470 w=30 h=30 type=crate
@obstacle x=640 y=470 w=30 h=30 type=crate
@obstacle x=700 y=470 w=30 h=30 type=crate
@obstacle x=760 y=470 w=30 h=30 type=crate

# --- 左侧散箱（疏：给绕行空间） ---
@obstacle x=90 y=180 w=26 h=26 type=crate
@obstacle x=120 y=230 w=26 h=26 type=crate
@obstacle x=80 y=320 w=26 h=26 type=crate
@obstacle x=140 y=360 w=26 h=26 type=crate
@obstacle x=100 y=450 w=26 h=26 type=crate
@obstacle x=160 y=520 w=26 h=26 type=crate
@obstacle x=110 y=600 w=26 h=26 type=crate

# --- 右侧散箱（疏：给绕行空间） ---
@obstacle x=880 y=120 w=26 h=26 type=crate
@obstacle x=920 y=170 w=26 h=26 type=crate
@obstacle x=860 y=260 w=26 h=26 type=crate
@obstacle x=930 y=330 w=26 h=26 type=crate
@obstacle x=870 y=420 w=26 h=26 type=crate
@obstacle x=920 y=500 w=26 h=26 type=crate
@obstacle x=860 y=580 w=26 h=26 type=crate

# --- 出生附近：少量箱子（给开局选择，但不堆死） ---
@obstacle x=120 y=90 w=30 h=30 type=crate
@obstacle x=90 y=130 w=30 h=30 type=crate
@obstacle x=860 y=610 w=30 h=30 type=crate
@obstacle x=900 y=570 w=30 h=30 type=crate

# --- 撤离附近：刻意“稀” + 少量诱饵箱（更难撤） ---
@obstacle x=900 y=640 w=26 h=26 type=crate
@obstacle x=920 y=600 w=26 h=26 type=crate
@obstacle x=860 y=660 w=26 h=26 type=crate

@note "这是纯1v1：建议配合“箱子可破坏”让局面动态变化。撤离点32x32很苛刻：想撤基本要先把对手压退。"
@comment 如果你想更“箱海”，把中部箱子再复制一轮到 y=510~590（但注意不要把路全堵死）。"
