# MAPTEXT v1
# Mansion + Strategic（2500x2500）
# - 中心：对称“复杂豪宅”（单一 roomgroup，保证外部入口）
# - 外围：Strategic 风格（8个资源点箱群 + 4个主路节点箱群 + 大量草丛 + 少量水域 + 少量视线切割墙）
# - 注意：撤离区不覆盖任何 obstacle；所有 obstacle 之间不重叠

@meta id=mansion_strategic_v1_2p5k name="Mansion Strategic (2.5K) - Clean+" desc="2500x2500：中心对称豪宅(每房间1个宝箱/箱子，中心更好) + 外围战略资源布局(箱群/草丛/水域/少量视线切割墙)。含小概率 LEGENDARY。"
@map width=2500 height=2500 seed=20260109

# === 撤离点：地图中心 + 上下两侧（不与任何 obstacle 重叠）===
@extract x=1210 y=1210 w=80 h=80
@extract x=1210 y=480 w=80 h=80
@extract x=1210 y=2140 w=80 h=80
# 上下两侧机枪手AI旁边的撤离点（避开房屋，豪宅范围600-1960, 720-1840）
@extract x=1100 y=560 w=80 h=80
@extract x=1380 y=560 w=80 h=80
@extract x=1100 y=1860 w=80 h=80
@extract x=1380 y=1860 w=80 h=80

# === 出生点（四角内缩）===
@spawn x=260 y=260
@spawn x=2240 y=260
@spawn x=260 y=2240
@spawn x=2240 y=2240

# === POI（中心 + 8个外围资源点）===
@poi x=1250 y=1250 id=center_mansion type=landmark name="Center Mansion" desc="中央豪宅：关键房有宝箱与守卫"
@poi x=450  y=450   id=nw_resource type=resource name="Northwest Resource" desc="西北资源点（箱群）"
@poi x=2050 y=450   id=ne_resource type=resource name="Northeast Resource" desc="东北资源点（箱群）"
@poi x=450  y=2050  id=sw_resource type=resource name="Southwest Resource" desc="西南资源点（箱群）"
@poi x=2050 y=2050  id=se_resource type=resource name="Southeast Resource" desc="东南资源点（箱群）"
@poi x=1250 y=450   id=north_resource type=resource name="North Resource" desc="北部资源点（箱群）"
@poi x=1250 y=2050  id=south_resource type=resource name="South Resource" desc="南部资源点（箱群）"
@poi x=450  y=1250  id=west_resource  type=resource name="West Resource"  desc="西部资源点（箱群）"
@poi x=2050 y=1250  id=east_resource  type=resource name="East Resource"  desc="东部资源点（箱群）"

# === 区域（用于刷新/强度分层）===
@zone x=620 y=740 w=1260 h=920 id=center_mansion_zone type=danger name="Center Mansion Zone" desc="中央高危险区：豪宅与周边"
# 最中心房间区域（grand_hall, gallery, vault_s, balcony_n）
# 第3列(index=2)的房间内部区域，避开墙壁：x=1120+20=1140, 宽度=260-40=220
# 4行房间，每行高240，内部高度=240-40=200，总高度约800（留出墙壁空间）
@zone x=1140 y=760 w=220 h=880 id=center_core_rooms type=danger name="Center Core Rooms" desc="最中心房间：可能刷新传说物品"
@zone x=0 y=0 w=1250 h=1250 id=northwest_zone type=loot name="Northwest Zone" desc="西北资源区"
@zone x=1250 y=0 w=1250 h=1250 id=northeast_zone type=loot name="Northeast Zone" desc="东北资源区"
@zone x=0 y=1250 w=1250 h=1250 id=southwest_zone type=loot name="Southwest Zone" desc="西南资源区"
@zone x=1250 y=1250 w=1250 h=1250 id=southeast_zone type=loot name="Southeast Zone" desc="东南资源区"

# ============================================================
# 中央豪宅（单一 roomgroup）
# - 外围房间：wood / concrete（更“居住/仓储”）
# - 中心走廊/侧厅：pave（过渡）
# - 中心大厅/金库：tile（显眼、价值感更强）
# ============================================================

@roomgroup layout=grid x=600 y=720 cols=5 cellW=260 cellH=240 wallThickness=20 doorWidth=120 id=mansion_main
  suite_w:     w=260 h=240 doors=sew  floor=wood
  closet_w:    w=260 h=240 doors=sew  floor=wood
  balcony_n:   w=260 h=240 doors=nsew floor=tile
  closet_e:    w=260 h=240 doors=sew  floor=wood
  suite_e:     w=260 h=240 doors=sew  floor=wood

  library_w:   w=260 h=240 doors=nsew floor=wood
  corridor_w:  w=260 h=240 doors=nsew floor=pave
  gallery:     w=260 h=240 doors=nsew floor=tile
  corridor_e:  w=260 h=240 doors=nsew floor=pave
  library_e:   w=260 h=240 doors=nsew floor=wood

  kitchen_w:   w=260 h=240 doors=nsew floor=tile
  sidehall_w:  w=260 h=240 doors=nsew floor=pave
  grand_hall:  w=260 h=240 doors=nsew floor=tile
  sidehall_e:  w=260 h=240 doors=nsew floor=pave
  kitchen_e:   w=260 h=240 doors=nsew floor=tile

  armory_w:    w=260 h=240 doors=nsew floor=concrete
  storage_w:   w=260 h=240 doors=nsew floor=concrete
  vault_s:     w=260 h=240 doors=nsew floor=tile
  storage_e:   w=260 h=240 doors=nsew floor=concrete
  armory_e:    w=260 h=240 doors=nsew floor=concrete

# ============================================================
# 豪宅：每个房间 1 个不同宝箱/箱子
# 放置规则：每个格子左上角 +120,+120（远离门/墙），不会压撤离区
# - 越靠中心：更多 chest_closed + 更好的 chestRarityWeights
# ============================================================

# Row0 y=720 -> chest y=840（增加房区内资源密度）
@obstacle x=720  y=840  w=28 h=28 type=medical_crate
@obstacle x=760  y=840  w=28 h=28 type=weapon_crate
@obstacle x=980  y=840  w=28 h=28 type=chest_closed chestCapacity=2 chestRarityWeights=COMMON:78,RARE:18,EPIC:3,LEGENDARY:1
@obstacle x=1020 y=840 w=28 h=28 type=equipment_crate
@obstacle x=1240 y=840  w=28 h=28 type=throwable_crate
@obstacle x=1280 y=840 w=28 h=28 type=medical_crate
@obstacle x=1500 y=840  w=28 h=28 type=equipment_crate
@obstacle x=1540 y=840 w=28 h=28 type=weapon_crate
@obstacle x=1760 y=840  w=28 h=28 type=weapon_crate
@obstacle x=1800 y=840 w=28 h=28 type=throwable_crate

# Row1 y=960 -> chest y=1080（增加房区内资源密度）
@obstacle x=720  y=1080 w=28 h=28 type=weapon_crate
@obstacle x=760  y=1080 w=28 h=28 type=medical_crate
@obstacle x=980  y=1080 w=28 h=28 type=medical_crate
@obstacle x=1020 y=1080 w=28 h=28 type=equipment_crate
@obstacle x=1240 y=1080 w=28 h=28 type=chest_closed chestCapacity=3 chestRarityWeights=COMMON:60,RARE:28,EPIC:10,LEGENDARY:2
@obstacle x=1280 y=1080 w=28 h=28 type=throwable_crate
@obstacle x=1500 y=1080 w=28 h=28 type=throwable_crate
@obstacle x=1540 y=1080 w=28 h=28 type=weapon_crate
@obstacle x=1760 y=1080 w=28 h=28 type=equipment_crate
@obstacle x=1800 y=1080 w=28 h=28 type=medical_crate

# Row2 y=1200 -> chest y=1320（中心层，增加房区内资源密度）
@obstacle x=720  y=1320 w=28 h=28 type=equipment_crate
@obstacle x=760  y=1320 w=28 h=28 type=weapon_crate
@obstacle x=980  y=1320 w=28 h=28 type=throwable_crate
@obstacle x=1020 y=1320 w=28 h=28 type=medical_crate
@obstacle x=1240 y=1320 w=28 h=28 type=chest_closed chestCapacity=4 chestRarityWeights=COMMON:35,RARE:35,EPIC:25,LEGENDARY:5
@obstacle x=1280 y=1320 w=28 h=28 type=equipment_crate
@obstacle x=1500 y=1320 w=28 h=28 type=weapon_crate
@obstacle x=1540 y=1320 w=28 h=28 type=medical_crate
@obstacle x=1760 y=1320 w=28 h=28 type=medical_crate
@obstacle x=1800 y=1320 w=28 h=28 type=throwable_crate

# Row3 y=1440 -> chest y=1560（南侧：军械/仓储/金库，增加房区内资源密度）
@obstacle x=720  y=1560 w=28 h=28 type=weapon_crate
@obstacle x=760  y=1560 w=28 h=28 type=equipment_crate
@obstacle x=980  y=1560 w=28 h=28 type=weapon_crate
@obstacle x=1020 y=1560 w=28 h=28 type=equipment_crate
@obstacle x=1240 y=1560 w=28 h=28 type=chest_closed chestCapacity=4 chestRarityWeights=COMMON:30,RARE:34,EPIC:28,LEGENDARY:8
@obstacle x=1280 y=1560 w=28 h=28 type=medical_crate
@obstacle x=1500 y=1560 w=28 h=28 type=equipment_crate
@obstacle x=1540 y=1560 w=28 h=28 type=throwable_crate
@obstacle x=1760 y=1560 w=28 h=28 type=throwable_crate
@obstacle x=1800 y=1560 w=28 h=28 type=weapon_crate

# ============================================================
# 室外布局（Strategic）
# ============================================================

# === 水域（四边中段，不封路）===
@obstacle x=120  y=1070 w=140 h=360 type=water
@obstacle x=2240 y=1070 w=140 h=360 type=water
@obstacle x=1070 y=120  w=360 h=140 type=water
@obstacle x=1070 y=2240 w=360 h=140 type=water

# === 豪宅外圈草丛（贴边走，但不进屋，避开墙和箱子）===
@obstacle x=800  y=640  w=160 h=60  type=bush
@obstacle x=1540 y=640  w=160 h=60  type=bush
@obstacle x=800  y=1700 w=160 h=60  type=bush
@obstacle x=1540 y=1700 w=160 h=60  type=bush
@obstacle x=520  y=800  w=60  h=160 type=bush
@obstacle x=520  y=1540 w=60  h=160 type=bush
@obstacle x=1920 y=800  w=60  h=160 type=bush
@obstacle x=1920 y=1540 w=60  h=160 type=bush

# === 角落草丛（出生点附近：给一点开局遮挡，避开箱子）===
@obstacle x=180  y=520  w=180 h=120 type=bush
@obstacle x=520  y=180  w=120 h=180 type=bush
@obstacle x=2140 y=520  w=180 h=120 type=bush
@obstacle x=2020 y=180  w=120 h=180 type=bush
@obstacle x=180  y=2180 w=180 h=120 type=bush
@obstacle x=520  y=2140 w=120 h=180 type=bush
@obstacle x=2140 y=2180 w=180 h=120 type=bush
@obstacle x=2020 y=2140 w=120 h=180 type=bush

# === 少量视线切割墙 ===
@obstacle x=800  y=460 w=14 h=200 type=wall
@obstacle x=1000 y=460 w=14 h=200 type=wall
@obstacle x=1500 y=460 w=14 h=200 type=wall
@obstacle x=1700 y=460 w=14 h=200 type=wall
@obstacle x=800  y=1840 w=14 h=200 type=wall
@obstacle x=1000 y=1840 w=14 h=200 type=wall
